EEGNET     , elu       ,2.00E-04,0.3,238,0.8296
EEGNET     , leaky_relu,2.00E-04,0.6,292,0.8296
EEGNET     , elu       ,3.00E-04,0.4,178,0.8296
EEGNET     , leaky_relu,3.00E-04,0.1,257,0.8296
EEGNET     , elu       ,3.00E-04,0.6,234,0.8296
EEGNET     , elu       ,4.00E-04,0.3,241,0.8296
EEGNET     , elu       ,2.00E-04,0.2,259,0.8287
EEGNET     , relu      ,2.00E-04,0.6,281,0.8287
EEGNET     , relu      ,2.00E-04,0.6,296,0.8287
EEGNET     , elu       ,3.00E-04,0.3,296,0.8287
EEGNET     , elu       ,3.00E-04,0.1,170,0.8287
EEGNET     , elu       ,5.00E-04,0.3,278,0.8287
EEGNET     , relu      ,1.00E-04,0.3,299,0.8278
EEGNET     , relu      ,1.00E-04,0.3,244,0.8278
EEGNET     , relu      ,1.00E-04,0.5,275,0.8278
EEGNET     , relu      ,2.00E-04,0.5,273,0.8278
EEGNET     , relu      ,2.00E-04,0.2,215,0.8278
EEGNET     , relu      ,3.00E-04,0.6,296,0.8278
EEGNET     , elu       ,3.00E-04,0.4,229,0.8278
EEGNET     , relu      ,3.00E-04,0.6,294,0.8278
EEGNET     , elu       ,3.00E-04,0.3,294,0.8278
EEGNET     , elu       ,3.00E-04,0.3,240,0.8278
EEGNET     , elu       ,3.00E-04,0.1,247,0.8278
EEGNET     , elu       ,4.00E-04,0.5,254,0.8278
EEGNET     , elu       ,4.00E-04,0.1,186,0.8278
EEGNET     , relu      ,1.00E-04,0.2,279,0.8269
EEGNET     , relu      ,1.00E-04,0.4,295,0.8269
EEGNET     , relu      ,2.00E-04,0.6,270,0.8269
EEGNET     , leaky_relu,2.00E-04,0.6,265,0.8269
EEGNET     , elu       ,2.00E-04,0.2,275,0.8269
EEGNET     , elu       ,2.00E-04,0.1,191,0.8269
EEGNET     , elu       ,3.00E-04,0.1,178,0.8269
EEGNET     , leaky_relu,3.00E-04,0.7,274,0.8269
EEGNET     , elu       ,4.00E-04,0.1,294,0.8269
EEGNET     , relu      ,4.00E-04,0.7,300,0.8269
EEGNET     , relu      ,1.00E-04,0.4,300,0.8259
EEGNET     , relu      ,2.00E-04,0.4,283,0.8259
EEGNET     , leaky_relu,2.00E-04,0.6,245,0.8259
EEGNET     , leaky_relu,3.00E-04,0.6,282,0.8259
EEGNET     , elu       ,4.00E-04,0.2,219,0.8259
EEGNET     , elu       ,5.00E-04,0.4,263,0.8259
EEGNET     , relu      ,1.00E-04,0.4,217,0.825
EEGNET     , leaky_relu,2.00E-04,0.4,286,0.825
EEGNET     , relu      ,2.00E-04,0.6,209,0.825
EEGNET     , leaky_relu,3.00E-04,0.7,207,0.825
EEGNET     , elu       ,3.00E-04,0.4,251,0.825
EEGNET     , elu       ,3.00E-04,0.4,195,0.825
EEGNET     , relu      ,4.00E-04,0.7,235,0.825
EEGNET     , elu       ,4.00E-04,0.4,226,0.825
EEGNET     , leaky_relu,1.00E-04,0.5,278,0.8241
EEGNET     , relu      ,1.00E-04,0.3,291,0.8241
EEGNET     , leaky_relu,1.00E-04,0.3,189,0.8241
EEGNET     , elu       ,1.00E-04,0.1,262,0.8241
EEGNET     , elu       ,2.00E-04,0.3,261,0.8241
EEGNET     , elu       ,2.00E-04,0.2,215,0.8241
EEGNET     , elu       ,3.00E-04,0.2,107,0.8241
EEGNET     , elu       ,4.00E-04,0.3,193,0.8241
EEGNET     , elu       ,4.00E-04,0.5,298,0.8241
EEGNET     , elu       ,4.00E-04,0.4,247,0.8241
EEGNET     , leaky_relu,4.00E-04,0.8,266,0.8241
EEGNET     , elu       ,4.00E-04,0.5,300,0.8241
EEGNET     , leaky_relu,5.00E-04,0.7,270,0.8241
EEGNET     , relu      ,1.00E-04,0.2,273,0.8231
EEGNET     , leaky_relu,2.00E-04,0.6,265,0.8231
EEGNET     , elu       ,2.00E-04,0.1,235,0.8231
EEGNET     , elu       ,2.00E-04,0.3,220,0.8231
EEGNET     , leaky_relu,2.00E-04,0.6,291,0.8231
EEGNET     , relu      ,2.00E-04,0.7,272,0.8231
EEGNET     , relu      ,3.00E-04,0.6,243,0.8231
EEGNET     , elu       ,3.00E-04,0.1,201,0.8231
EEGNET     , elu       ,4.00E-04,0.5,184,0.8231
EEGNET     , leaky_relu,4.00E-04,0.7,284,0.8231
